Irish base variable,Irish base value,French base variable,French base value,irish_transformation,transformation_input_irish,french_transformation,transformation_input_france,datatype types,datatype allowed values,Corresponding OntologyIDs,Corresponding OntologyIDs Name,Schema group node,Comments
Immunosuppression,,,,,,,,,,,,,
Antibiotics,,,,,,,,,,C0003232,,drug,
Other meds,,,,,,,,,,,,,
Comorbid conditions,,,,,,,,,,,,,
Specific condition,,,,,,,,,,,,,
Stage,,,,,,,,,,,,,
Previous premalignant Polyps,,previous_polyps,,,,,,,,,,,
History of advanced polyp ,,previous_polyps,,,,,,,,,,,
Adenomas,,,,,,,,,,,,,
SSL (sessile serrated lesion),,,,,,,,,,,,,
History of CRC,,,,,,,,,,C5688628,History of malignant neoplasm of colon and/or rectum,,
Exercise sessions/week,,,,,,,,,,,,,
Exercise mins/week ,,intense_activity_minutes_nb,,,,,,,,,,,
Exercise mins/week ,,moderate_activity_minutes_nb,,,,,,,,,,,
Exercise mins/week ,,no_moderate_activity,,,,,,,,,,,
Polyp location,"""right""",polyp_1_topography,,,,,,,"[True, False]",C0205090,Right,,
Polyp location,"""left""",polyp_1_topography,,,,,,,,,,,
Polyp location,"""both""",polyp_1_topography,,,,,,,,,,,
CRC location,,cancer_site,,,,,,,,C3173299,Cancer site - type,,
Pre-malignant Polyps,,polyp_1_size,,,,,,,,,,,
Pre-malignant Polyps,,polyp_1_aspect,,,,,,,,,,,
Pre-malignant Polyps,,polyp_1_topography,,,,,,,,,,,
Number of pre malignant polyps,,polyps_number,,,,,,,,,,,
Number of pre malignant polyps,,polyp_1_size,,,,,,,,,,,
Number of pre malignant polyps,,polyp_1_aspect,,,,,,,,,,,
Number of pre malignant polyps,,polyp_1_topography,,,,,,,,,,,
Advanced polyp,,polyp_1_size,,,,,,,,,,,
Advanced polyp,,polyp_1_aspect,,,,,,,,,,,
Advanced polyp,,polyp_1_topography,,,,,,,,,,,
No. of advanced polyps,,polyp_1_size,,,,,,,,,,,
No. of advanced polyps,,polyp_1_aspect,,,,,,,,,,,
No. of advanced polyps,,polyp_1_topography,,,,,,,,,,,
No. of advanced polyps,,polyps_number,,,,,,,,,,,
Hyperplastic,,polyp_1_size,,,,,,,,,,,
Hyperplastic,,polyp_1_aspect,,,,,,,,,,,
Hyperplastic,,polyp_1_topography,,,,,,,,,,,
Hyperplastic,,polyps_number,,,,,,,,,,,
TSA,,polyp_1_size,,,,,,,,,,,
TSA,,polyp_1_aspect,,,,,,,,,,,
TSA,,polyp_1_topography,,,,,,,,,,,
TSA,,polyps_number,,,,,,,,,,,
High risk criteria,,polyp_1_size,,,,,,,,C4319571,High risk,,
High risk criteria,,polyp_1_aspect,,,,,,,,C4319571,High risk,,
High risk criteria,,polyp_1_topography,,,,,,,,C4319571,High risk,,
High risk criteria,,polyps_number,,,,,,,,C4319571,High risk,,
